Timestamp,Stimulus,Action,Correct,Reaction_Time_ms
2025-08-12 15:28:33,No-Go,No Shot,Yes,
2025-08-12 15:28:33,No-Go,No Shot,Yes,
2025-08-12 15:28:34,Go,No Shot,No,
2025-08-12 15:28:34,Go,Shoot,Yes,1175
2025-08-12 15:28:34,No-Go,No Shot,Yes,
2025-08-12 15:28:34,No-Go,No Shot,Yes,
2025-08-12 15:28:34,Go,No Shot,No,
2025-08-12 15:28:35,Go,No Shot,No,
2025-08-12 15:28:35,Go,Shoot,Yes,1512
2025-08-12 15:28:35,No-Go,No Shot,Yes,
2025-08-12 15:28:36,Go,Shoot,Yes,1427
2025-08-12 15:28:36,No-Go,No Shot,Yes,
2025-08-12 15:28:36,No-Go,No Shot,Yes,
2025-08-12 15:28:36,Go,No Shot,No,
2025-08-12 15:28:37,Go,Shoot,Yes,1780
2025-08-12 15:28:37,Go,Shoot,Yes,1535
2025-08-12 15:28:37,Go,No Shot,No,
2025-08-12 15:28:37,No-Go,No Shot,Yes,
2025-08-12 15:28:38,Go,No Shot,No,
2025-08-12 15:28:38,Go,Shoot,Yes,1496
2025-08-12 15:28:38,Go,No Shot,No,
2025-08-12 15:28:38,Go,Shoot,Yes,1474
2025-08-12 15:28:39,No-Go,No Shot,Yes,
2025-08-12 15:28:39,Go,Shoot,Yes,1439
2025-08-12 15:28:39,No-Go,No Shot,Yes,
2025-08-12 15:28:39,No-Go,No Shot,Yes,
2025-08-12 15:28:39,Go,Shoot,Yes,1248
2025-08-12 15:28:39,Go,No Shot,No,
2025-08-12 15:28:40,Go,Shoot,Yes,1331
2025-08-12 15:28:40,No-Go,No Shot,Yes,
2025-08-12 15:28:40,Go,Shoot,Yes,1422
2025-08-12 15:28:40,Go,No Shot,No,
2025-08-12 15:28:41,Go,Shoot,Yes,1489
2025-08-12 15:28:41,No-Go,No Shot,Yes,
2025-08-12 15:28:41,Go,No Shot,No,
2025-08-12 15:28:41,Go,No Shot,No,
2025-08-12 15:28:42,No-Go,No Shot,Yes,
2025-08-12 15:28:42,No-Go,No Shot,Yes,
2025-08-12 15:28:42,Go,No Shot,No,
2025-08-12 15:28:42,No-Go,No Shot,Yes,
2025-08-12 15:28:42,Go,No Shot,No,
2025-08-12 15:28:43,Go,Shoot,Yes,1281
2025-08-12 15:28:43,Go,No Shot,No,
2025-08-12 15:28:43,Go,Shoot,Yes,1266
2025-08-12 15:28:43,No-Go,No Shot,Yes,
2025-08-12 15:28:43,No-Go,No Shot,Yes,
2025-08-12 15:28:43,Go,Shoot,Yes,1186
2025-08-12 15:28:44,No-Go,No Shot,Yes,
2025-08-12 15:28:44,No-Go,No Shot,Yes,
2025-08-12 15:28:44,No-Go,No Shot,Yes,
2025-08-12 15:28:44,Go,Shoot,Yes,1303
2025-08-12 15:28:44,Go,No Shot,No,
2025-08-12 15:28:45,Go,No Shot,No,
2025-08-12 15:28:45,Go,Shoot,Yes,1387
2025-08-12 15:28:45,Go,No Shot,No,
2025-08-12 15:28:46,Go,No Shot,No,
2025-08-12 15:28:46,Go,No Shot,No,
2025-08-12 15:28:46,Go,No Shot,No,
2025-08-12 15:28:46,Go,No Shot,No,
2025-08-12 15:28:46,Go,No Shot,No,
2025-08-12 15:28:47,Go,No Shot,No,
2025-08-12 15:28:47,Go,No Shot,No,
2025-08-12 15:28:47,Go,No Shot,No,
2025-08-12 15:28:47,No-Go,No Shot,Yes,
2025-08-12 15:28:47,Go,Shoot,Yes,1463
2025-08-12 15:28:47,Go,No Shot,No,
2025-08-12 15:28:48,Go,No Shot,No,
2025-08-12 15:28:48,Go,Shoot,Yes,1299
2025-08-12 15:28:48,Go,No Shot,No,
2025-08-12 15:28:48,No-Go,No Shot,Yes,
2025-08-12 15:28:49,Go,No Shot,No,
2025-08-12 15:28:49,Go,Shoot,Yes,986
2025-08-12 15:28:49,No-Go,No Shot,Yes,
2025-08-12 15:28:49,No-Go,No Shot,Yes,
2025-08-12 15:28:49,No-Go,No Shot,Yes,
2025-08-12 15:28:50,Go,Shoot,Yes,1329
2025-08-12 15:28:50,No-Go,No Shot,Yes,
2025-08-12 15:28:50,Go,Shoot,Yes,1540
2025-08-12 15:28:50,Go,No Shot,No,
2025-08-12 15:28:51,Go,No Shot,No,
2025-08-12 15:28:51,Go,No Shot,No,
2025-08-12 15:28:51,Go,No Shot,No,
2025-08-12 15:28:51,Go,Shoot,Yes,1469
2025-08-12 15:28:51,No-Go,No Shot,Yes,
2025-08-12 15:28:52,Go,No Shot,No,
2025-08-12 15:28:52,Go,No Shot,No,
2025-08-12 15:28:52,No-Go,No Shot,Yes,
2025-08-12 15:28:52,Go,Shoot,Yes,1423
2025-08-12 15:28:52,Go,No Shot,No,
2025-08-12 15:28:53,Go,No Shot,No,
2025-08-12 15:28:53,Go,No Shot,No,
2025-08-12 15:28:53,No-Go,No Shot,Yes,
2025-08-12 15:28:53,Go,No Shot,No,
2025-08-12 15:28:54,Go,Shoot,Yes,1309
2025-08-12 15:28:54,Go,No Shot,No,
2025-08-12 15:28:54,Go,No Shot,No,
2025-08-12 15:28:54,Go,No Shot,No,
2025-08-12 15:28:54,No-Go,No Shot,Yes,
2025-08-12 15:28:55,Go,No Shot,No,
2025-08-12 15:28:55,Go,Shoot,Yes,1224
2025-08-12 15:28:55,No-Go,No Shot,Yes,
2025-08-12 15:28:55,No-Go,No Shot,Yes,
2025-08-12 15:28:55,Go,Shoot,Yes,1277
2025-08-12 15:28:55,Go,No Shot,No,
2025-08-12 15:28:56,No-Go,No Shot,Yes,
2025-08-12 15:28:56,Go,Shoot,Yes,1145
2025-08-12 15:28:56,No-Go,No Shot,Yes,
2025-08-12 15:28:56,No-Go,No Shot,Yes,
2025-08-12 15:28:57,Go,No Shot,No,
2025-08-12 15:28:57,Go,No Shot,No,
2025-08-12 15:28:57,No-Go,No Shot,Yes,
2025-08-12 15:28:57,No-Go,No Shot,Yes,
2025-08-12 15:28:58,Go,No Shot,No,
2025-08-12 15:28:58,Go,No Shot,No,
